Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,03:23,04:53,11:46,15:26,18:43,20:09
2,03:24,04:53,11:46,15:26,18:42,20:08
3,03:25,04:54,11:46,15:26,18:42,20:07
4,03:26,04:55,11:46,15:26,18:41,20:06
5,03:27,04:55,11:46,15:26,18:40,20:04
6,03:28,04:56,11:46,15:25,18:39,20:03
7,03:29,04:57,11:45,15:25,18:38,20:02
8,03:30,04:57,11:45,15:25,18:37,20:01
9,03:30,04:58,11:45,15:25,18:36,20:00
10,03:31,04:59,11:45,15:25,18:35,19:59
11,03:32,04:59,11:45,15:24,18:34,19:57
12,03:33,05:00,11:45,15:24,18:33,19:56
13,03:34,05:01,11:45,15:24,18:32,19:55
14,03:35,05:01,11:44,15:24,18:31,19:54
15,03:36,05:02,11:44,15:23,18:30,19:52
16,03:37,05:03,11:44,15:23,18:29,19:51
17,03:38,05:03,11:44,15:22,18:28,19:50
18,03:39,05:04,11:44,15:22,18:27,19:48
19,03:40,05:05,11:43,15:22,18:26,19:47
20,03:40,05:05,11:43,15:21,18:25,19:46
21,03:41,05:06,11:43,15:21,18:24,19:44
22,03:42,05:06,11:43,15:20,18:23,19:43
23,03:43,05:07,11:42,15:20,18:22,19:41
24,03:44,05:08,11:42,15:20,18:20,19:40
25,03:45,05:08,11:42,15:19,18:19,19:39
26,03:46,05:09,11:41,15:19,18:18,19:37
27,03:47,05:10,11:41,15:18,18:17,19:36
28,03:47,05:10,11:41,15:18,18:16,19:34
29,03:48,05:11,11:41,15:17,18:14,19:33
30,03:49,05:12,11:40,15:16,18:13,19:32
31,03:50,05:12,11:40,15:16,18:12,19:30
