Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:59,06:22,11:32,14:20,16:45,18:05
2,04:59,06:23,11:32,14:20,16:45,18:05
3,05:00,06:24,11:32,14:20,16:45,18:05
4,05:01,06:24,11:33,14:20,16:45,18:05
5,05:01,06:25,11:33,14:20,16:45,18:05
6,05:02,06:26,11:34,14:20,16:45,18:05
7,05:03,06:27,11:34,14:20,16:45,18:05
8,05:03,06:27,11:34,14:20,16:45,18:06
9,05:04,06:28,11:35,14:21,16:46,18:06
10,05:05,06:29,11:35,14:21,16:46,18:06
11,05:05,06:30,11:36,14:21,16:46,18:06
12,05:06,06:30,11:36,14:21,16:46,18:07
13,05:07,06:31,11:37,14:22,16:47,18:07
14,05:07,06:32,11:37,14:22,16:47,18:07
15,05:08,06:32,11:38,14:22,16:47,18:08
16,05:08,06:33,11:38,14:23,16:48,18:08
17,05:09,06:33,11:39,14:23,16:48,18:08
18,05:09,06:34,11:39,14:23,16:48,18:09
19,05:10,06:34,11:40,14:24,16:49,18:09
20,05:10,06:35,11:40,14:24,16:49,18:10
21,05:11,06:36,11:41,14:25,16:50,18:10
22,05:11,06:36,11:41,14:25,16:50,18:11
23,05:12,06:36,11:42,14:26,16:51,18:11
24,05:12,06:37,11:42,14:26,16:51,18:12
25,05:13,06:37,11:43,14:27,16:52,18:12
26,05:13,06:38,11:43,14:28,16:52,18:13
27,05:14,06:38,11:44,14:28,16:53,18:14
28,05:14,06:38,11:44,14:29,16:54,18:14
29,05:14,06:39,11:45,14:29,16:54,18:15
30,05:15,06:39,11:45,14:30,16:55,18:15
31,05:15,06:39,11:46,14:31,16:56,18:16
