Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:54,06:17,11:27,14:15,16:40,18:00
2,04:54,06:18,11:27,14:15,16:40,18:00
3,04:55,06:19,11:27,14:15,16:40,18:00
4,04:56,06:19,11:28,14:15,16:40,18:00
5,04:56,06:20,11:28,14:15,16:40,18:00
6,04:57,06:21,11:29,14:15,16:40,18:00
7,04:58,06:22,11:29,14:15,16:40,18:00
8,04:58,06:22,11:29,14:15,16:40,18:01
9,04:59,06:23,11:30,14:16,16:41,18:01
10,05:00,06:24,11:30,14:16,16:41,18:01
11,05:00,06:25,11:31,14:16,16:41,18:01
12,05:01,06:25,11:31,14:16,16:41,18:02
13,05:02,06:26,11:32,14:17,16:42,18:02
14,05:02,06:27,11:32,14:17,16:42,18:02
15,05:03,06:27,11:33,14:17,16:42,18:03
16,05:03,06:28,11:33,14:18,16:43,18:03
17,05:04,06:28,11:34,14:18,16:43,18:03
18,05:04,06:29,11:34,14:18,16:43,18:04
19,05:05,06:29,11:35,14:19,16:44,18:04
20,05:05,06:30,11:35,14:19,16:44,18:05
21,05:06,06:31,11:36,14:20,16:45,18:05
22,05:06,06:31,11:36,14:20,16:45,18:06
23,05:07,06:31,11:37,14:21,16:46,18:06
24,05:07,06:32,11:37,14:21,16:46,18:07
25,05:08,06:32,11:38,14:22,16:47,18:07
26,05:08,06:33,11:38,14:23,16:47,18:08
27,05:09,06:33,11:39,14:23,16:48,18:09
28,05:09,06:33,11:39,14:24,16:49,18:09
29,05:09,06:34,11:40,14:24,16:49,18:10
30,05:10,06:34,11:40,14:25,16:50,18:10
31,05:10,06:34,11:41,14:26,16:51,18:11
