Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,02:58,04:34,11:42,15:23,18:54,20:27
2,02:58,04:35,11:43,15:23,18:54,20:27
3,02:59,04:35,11:43,15:23,18:54,20:27
4,02:59,04:36,11:43,15:23,18:54,20:26
5,03:00,04:36,11:43,15:23,18:54,20:26
6,03:01,04:36,11:43,15:24,18:54,20:26
7,03:01,04:37,11:43,15:24,18:54,20:26
8,03:02,04:37,11:44,15:24,18:54,20:25
9,03:03,04:38,11:44,15:24,18:54,20:25
10,03:03,04:38,11:44,15:24,18:53,20:24
11,03:04,04:39,11:44,15:24,18:53,20:24
12,03:05,04:40,11:44,15:25,18:53,20:24
13,03:06,04:40,11:44,15:25,18:53,20:23
14,03:06,04:41,11:44,15:25,18:52,20:22
15,03:07,04:41,11:45,15:25,18:52,20:22
16,03:08,04:42,11:45,15:25,18:51,20:21
17,03:09,04:42,11:45,15:25,18:51,20:21
18,03:10,04:43,11:45,15:25,18:51,20:20
19,03:10,04:44,11:45,15:25,18:50,20:19
20,03:11,04:44,11:45,15:25,18:50,20:19
21,03:12,04:45,11:45,15:25,18:49,20:18
22,03:13,04:45,11:45,15:25,18:49,20:17
23,03:14,04:46,11:45,15:26,18:48,20:16
24,03:15,04:47,11:45,15:26,18:48,20:15
25,03:16,04:47,11:45,15:26,18:47,20:15
26,03:17,04:48,11:45,15:26,18:46,20:14
27,03:17,04:49,11:45,15:26,18:46,20:13
28,03:18,04:49,11:45,15:25,18:45,20:12
29,03:19,04:50,11:45,15:25,18:44,20:11
30,03:20,04:50,11:45,15:25,18:44,20:10
31,03:21,04:51,11:45,15:25,18:43,20:09
